                      Texto 1   Texto 2   Texto 3
pacientes            0.000000  0.000000  0.602060
padecen              0.000000  0.000000  0.301030
padres               0.477121  0.000000  0.000000
palabras             0.301030  0.000000  0.301030
palm                 0.000000  0.301030  0.000000
para                 0.698970  0.778151  0.845098
parches              0.000000  0.301030  0.000000
parec                0.301030  0.000000  0.000000
parece               0.301030  0.000000  0.000000
pareci               0.477121  0.000000  0.000000
parque               0.000000  0.301030  0.000000
parte                0.000000  0.000000  0.477121
particular           0.000000  0.301030  0.000000
pasado               0.301030  0.000000  0.000000
pasados              0.301030  0.000000  0.000000
pasar                0.301030  0.000000  0.000000
pedos                0.000000  0.301030  0.000000
pens                 0.000000  0.301030  0.000000
pensamiento          0.000000  0.301030  0.000000
peque                0.301030  0.301030  0.000000
perboni              0.301030  0.000000  0.000000
period               0.000000  0.000000  0.301030
permite              0.000000  0.000000  0.301030
pero                 0.477121  0.301030  0.477121
persigue             0.000000  0.301030  0.000000
persona              0.000000  0.301030  0.000000
personaje            0.000000  0.301030  0.000000
personal             0.000000  0.301030  0.000000
persuadir            0.000000  0.000000  0.477121
pi                   0.000000  0.000000  0.301030
pices                0.301030  0.000000  0.000000
pidiendo             0.301030  0.000000  0.000000
piedra               0.000000  0.301030  0.000000
piso                 0.602060  0.000000  0.000000
planicies            0.000000  0.301030  0.000000
planta               0.000000  0.000000  0.301030
plantas              0.000000  0.301030  0.000000
plato                0.000000  0.000000  0.301030
plumas               0.301030  0.000000  0.000000
po                   0.000000  0.301030  0.000000
poca                 0.000000  0.301030  0.000000
pod                  0.000000  0.301030  0.000000
pol                  0.000000  0.000000  0.301030
ponen                0.000000  0.000000  0.301030
poner                0.301030  0.000000  0.000000
por                  0.778151  0.602060  0.954243
porque               0.000000  0.301030  0.698970
posici               0.000000  0.000000  0.301030
potrillos            0.301030  0.000000  0.000000
pr                   0.301030  0.000000  0.000000
preciso              0.301030  0.000000  0.000000
predominantemente    0.000000  0.301030  0.000000
preguntaron          0.000000  0.301030  0.000000
premio               0.301030  0.000000  0.000000
presentan            0.000000  0.000000  0.301030
pretende             0.000000  0.301030  0.000000
preventiva           0.000000  0.000000  0.301030
primer               0.602060  0.000000  0.000000
primera              0.301030  0.000000  0.000000
primero              0.301030  0.000000  0.301030
principal            0.301030  0.000000  0.301030
prisa                0.000000  0.301030  0.000000
problem              0.000000  0.000000  0.301030
procesada            0.000000  0.000000  0.301030
procesar             0.000000  0.000000  0.301030
procurar             0.000000  0.000000  0.301030
producci             0.000000  0.000000  0.301030
produciendo          0.301030  0.000000  0.000000
producir             0.000000  0.000000  0.301030
profesor             0.301030  0.000000  0.000000
profesora            0.477121  0.000000  0.000000
propia               0.000000  0.301030  0.000000
prote                0.000000  0.000000  0.477121
provoca              0.000000  0.301030  0.000000
pueblo               0.301030  0.000000  0.000000
pueblos              0.000000  0.301030  0.000000
puede                0.000000  0.000000  0.477121
puerta               0.477121  0.000000  0.000000
puertas              0.301030  0.000000  0.000000
puesto               0.301030  0.000000  0.000000
pulos                0.301030  0.000000  0.000000
punto                0.000000  0.000000  0.301030
puntos               0.000000  0.000000  0.301030
