                      Texto 1   Texto 2   Texto 3
ratoniles            0.000000  0.143628  0.000000
raz                  0.000000  0.143628  0.000000
re                   0.143628  0.000000  0.000000
rea                  0.000000  0.143628  0.000000
real                 0.000000  0.143628  0.000000
realidad             0.000000  0.143628  0.000000
realmente            0.000000  0.143628  0.000000
recato               0.000000  0.143628  0.000000
receptor             0.000000  0.143628  0.000000
rechoncha            0.000000  0.143628  0.000000
recomendado          0.000000  0.000000  0.143628
recomienda           0.000000  0.000000  0.143628
record               0.000000  0.143628  0.000000
recordando           0.143628  0.000000  0.000000
recta                0.143628  0.000000  0.000000
refinados            0.000000  0.000000  0.143628
refrescos            0.000000  0.000000  0.143628
refutan              0.000000  0.000000  0.143628
refutarla            0.000000  0.000000  0.143628
regi                 0.000000  0.227645  0.000000
requiere             0.000000  0.000000  0.143628
resisti              0.143628  0.000000  0.000000
resulta              0.000000  0.000000  0.143628
retrato              0.000000  0.227645  0.000000
rez                  0.000000  0.000000  0.287256
ribera               0.000000  0.227645  0.000000
riesgo               0.000000  0.000000  0.143628
rizoso               0.143628  0.000000  0.000000
rocas                0.000000  0.143628  0.000000
rodeado              0.143628  0.000000  0.000000
romp                 0.143628  0.000000  0.000000
ronca                0.143628  0.000000  0.000000
rtica                0.000000  0.143628  0.000000
rubio                0.227645  0.000000  0.000000
rumor                0.143628  0.000000  0.000000
rvulos               0.143628  0.000000  0.000000
s                    0.000000  0.000000  0.000000
sab                  0.143628  0.000000  0.000000
sabia                0.000000  0.143628  0.000000
sabio                0.000000  0.143628  0.000000
sabor                0.000000  0.000000  0.143628
sacaba               0.143628  0.000000  0.000000
salida               0.143628  0.000000  0.000000
salir                0.227645  0.000000  0.000000
salud                0.143628  0.000000  0.000000
saludable            0.000000  0.000000  0.227645
sana                 0.000000  0.000000  0.143628
sandra               0.000000  0.000000  0.143628
sangre               0.000000  0.000000  0.143628
sanos                0.000000  0.143628  0.000000
se                   0.000000  0.000000  0.000000
secci                0.227645  0.000000  0.000000
segunda              0.227645  0.000000  0.000000
selva                0.000000  0.143628  0.000000
sent                 0.287256  0.000000  0.000000
sentados             0.143628  0.000000  0.000000
separamos            0.143628  0.000000  0.000000
ser                  0.000000  0.000000  0.143628
serie                0.000000  0.000000  0.227645
si                   0.053009  0.000000  0.106018
sido                 0.053009  0.053009  0.000000
siempre              0.106018  0.000000  0.053009
sienes               0.000000  0.143628  0.000000
siete                0.227645  0.000000  0.000000
siguiendo            0.000000  0.000000  0.143628
siguiente            0.000000  0.000000  0.143628
simp                 0.143628  0.000000  0.000000
simular              0.000000  0.143628  0.000000
sin                  0.084017  0.053009  0.000000
siquiera             0.143628  0.000000  0.000000
sitio                0.143628  0.000000  0.000000
sobra                0.143628  0.000000  0.000000
solim                0.000000  0.143628  0.000000
solo                 0.000000  0.227645  0.000000
somos                0.000000  0.227645  0.000000
son                  0.000000  0.333493  0.000000
sonre                0.143628  0.000000  0.000000
sorprender           0.000000  0.143628  0.000000
sortijas             0.000000  0.143628  0.000000
spera                0.000000  0.143628  0.000000
stevia               0.000000  0.000000  0.143628
stica                0.000000  0.143628  0.000000
stico                0.000000  0.000000  0.143628
sticos               0.000000  0.143628  0.000000
su                   0.000000  0.000000  0.000000
subjetiva            0.000000  0.143628  0.000000
sucede               0.000000  0.000000  0.143628
sue                  0.143628  0.000000  0.000000
superior             0.143628  0.000000  0.000000
sus                  0.084017  0.137026  0.000000
suyo                 0.000000  0.143628  0.000000
t                    0.143628  0.000000  0.000000
tal                  0.000000  0.143628  0.000000
talle                0.000000  0.143628  0.000000
tambi                0.053009  0.000000  0.053009
tan                  0.287256  0.000000  0.000000
tanta                0.143628  0.000000  0.000000
tanto                0.084017  0.000000  0.053009
te                   0.143628  0.000000  0.000000
teatro               0.143628  0.000000  0.000000
tema                 0.000000  0.000000  0.143628
ten                  0.053009  0.053009  0.000000
tener                0.000000  0.000000  0.143628
tengan               0.000000  0.000000  0.143628
tengo                0.143628  0.000000  0.000000
teni                 0.000000  0.143628  0.000000
tercena              0.143628  0.000000  0.000000
terreno              0.000000  0.143628  0.000000
tesis                0.000000  0.000000  0.143628
texas                0.000000  0.143628  0.000000
texto                0.000000  0.137026  0.137026
textos               0.000000  0.000000  0.143628
tibia                0.000000  0.143628  0.000000
tibios               0.000000  0.143628  0.000000
tica                 0.000000  0.227645  0.000000
tico                 0.053009  0.000000  0.053009
ticos                0.000000  0.000000  0.333493
tiempos              0.000000  0.000000  0.143628
tiene                0.000000  0.000000  0.000000
tigre                0.000000  0.287256  0.000000
tigres               0.000000  0.143628  0.000000
tipo                 0.000000  0.000000  0.143628
toc                  0.143628  0.000000  0.000000
