      Texto 1   Texto 2   Texto 3
iro  0.000000  0.000000  0.143628
irp  0.000000  0.000000  0.143628
irs  0.000000  0.053009  0.053009
iry  0.053009  0.053009  0.000000
isa  0.000000  0.143628  0.000000
isc  0.053009  0.000000  0.106018
ise  0.227645  0.000000  0.000000
isi  0.106018  0.123083  0.000000
ism  0.000000  0.000000  0.000000
iso  0.123083  0.053009  0.000000
ist  0.000000  0.000000  0.000000
isu  0.000000  0.143628  0.000000
isy  0.000000  0.000000  0.143628
ita  0.000000  0.053009  0.123083
ite  0.000000  0.148814  0.053009
iti  0.053009  0.084017  0.000000
itn  0.227645  0.000000  0.000000
ito  0.084017  0.106018  0.000000
itu  0.000000  0.143628  0.000000
iva  0.000000  0.053009  0.084017
ive  0.000000  0.000000  0.143628
ivi  0.000000  0.143628  0.000000
ivo  0.000000  0.137026  0.106018
iza  0.000000  0.227645  0.000000
izl  0.000000  0.000000  0.143628
izo  0.143628  0.000000  0.000000
jab  0.143628  0.000000  0.000000
jad  0.000000  0.000000  0.143628
